account_no,security_name,account_type,balance,created_at,user_id
65234069-61,한국투자증권,IRP,3464216,2013-01-19,190
663-99-640333,신한투자증권,종합,927,2022-10-27,191
961–4121–8827-7,미래에셋대우,IRP,704,2014-10-04,191
876011-745290,KB증권,종합,849537,2023-05-26,192
111-73-976946,신한투자증권,종합,4261,2024-03-06,192
163990-515643,KB증권,IRP,859,2024-05-11,192
853–6154–3898-5,미래에셋대우,IRP,8265,2014-06-01,192
542-24-809860,신한투자증권,IRP,53342,2012-10-01,193
194–0738–4208-9,미래에셋대우,IRP,19410,2010-05-04,193
565010-766640,KB증권,IRP,54147239,2017-06-17,193
9807-8795,키움증권,종합,1344,2010-10-30,193
402-27-380980,신한투자증권,IRP,4680,2021-08-23,193
791-37-394070,신한투자증권,DC,12008,2013-12-07,194
3536-3120,키움증권,IRP,399,2015-11-02,194
4756-7624,키움증권,IRP,54929892,2012-11-05,194
022–0704–3376-7,미래에셋대우,DB,55862,2024-01-03,194
416257-975923,KB증권,DB,38019665,2012-05-02,194
271608-274369,KB증권,종합,61826231,2018-07-26,195
339494-950350,KB증권,IRP,3114088,2023-03-06,195
25820658-789,하나증권,종합,4561669,2020-09-24,195
669–6108–3331-5,미래에셋대우,종합,667,2013-11-02,195
2559-3347,키움증권,IRP,9492797,2021-11-07,195
045058-734381,KB증권,IRP,5687,2014-06-09,196
997317-011669,KB증권,종합,8703,2015-05-19,196
957–3012–5720-7,미래에셋대우,종합,3156,2021-02-10,196
4714-8806,키움증권,IRP,7186163,2018-10-23,197
214154-622370,KB증권,종합,19440398,2012-08-05,197
632375-428679,KB증권,IRP,963,2010-11-22,198
237439-130647,KB증권,종합,8290,2022-05-21,198
668-67-619272,신한투자증권,종합,389,2010-03-07,198
787357-133049,KB증권,종합,396,2023-02-26,198
17791390-285,하나증권,DC,475479,2010-12-06,199
310–7609–5128-8,미래에셋대우,종합,357261,2014-10-17,199
2075-4004,키움증권,DB,695943,2010-05-17,200
21323484-639,하나증권,DC,6524234,2016-12-31,200
466-19-144958,신한투자증권,DC,44006,2015-06-20,200
780785-935960,KB증권,종합,349493,2015-11-20,200
11688193-96,한국투자증권,DC,8966,2012-02-15,200
090560-973563,KB증권,종합,20139134,2024-02-06,201
456-19-145134,신한투자증권,DB,986619,2021-08-10,201
797–8832–6230-1,미래에셋대우,DC,801,2017-10-14,201
277–9206–3753-1,미래에셋대우,DB,3524793,2016-11-11,201
98225420-75,한국투자증권,DB,2072,2023-10-27,202
00594065-78,한국투자증권,IRP,8903,2011-05-17,202
1372-3925,키움증권,IRP,74839890,2015-10-16,204
77104574-44,한국투자증권,IRP,25127692,2022-11-10,204
831-73-478157,신한투자증권,DB,34962,2021-12-12,205
5877-8627,키움증권,IRP,85786,2014-07-12,205
32939048-531,하나증권,DC,3323,2016-11-09,205
110–3582–8826-2,미래에셋대우,DC,368,2023-03-09,205
618–3336–2937-3,미래에셋대우,IRP,3992,2017-11-15,207
5283-5937,키움증권,종합,86447795,2014-08-04,207
0372-8394,키움증권,종합,825519,2023-08-12,207
209-55-320679,신한투자증권,IRP,1623,2014-09-24,208
2802-9928,키움증권,DB,51694,2020-01-02,209
315752-290695,KB증권,DB,490,2023-12-06,209
647-97-272197,신한투자증권,IRP,983435,2015-08-17,209
1541-8941,키움증권,종합,7637053,2024-01-21,209
98806970-48,한국투자증권,DB,4413995,2011-12-27,210
91194168-046,하나증권,종합,14655049,2024-05-20,210
20802797-416,하나증권,DC,15410290,2018-01-04,211
7057-9657,키움증권,DB,4916170,2014-06-17,211
836332-038054,KB증권,DB,8490094,2020-11-23,211
252-91-175889,신한투자증권,종합,43711418,2020-05-07,211
37259327-018,하나증권,종합,49194,2019-10-04,211
336-39-353073,신한투자증권,종합,54676,2010-06-23,212
423-57-633886,신한투자증권,IRP,21679733,2010-02-03,212
205–5492–5385-3,미래에셋대우,IRP,86943337,2015-02-19,213
07868173-591,하나증권,DB,530,2021-06-11,213
351487-717069,KB증권,DB,885183,2012-09-10,213
544–1128–6222-4,미래에셋대우,IRP,7398178,2010-11-11,214
139-64-075145,신한투자증권,종합,7757,2021-04-08,214
426–6012–2857-8,미래에셋대우,DC,8496,2011-03-23,214
8007-0722,키움증권,종합,4735,2015-02-05,215
31224040-11,한국투자증권,종합,34670,2011-06-05,215
40405218-76,한국투자증권,IRP,3938,2013-10-20,215
9120-1673,키움증권,IRP,6703737,2011-07-17,215
74503954-279,하나증권,DB,992,2019-01-10,216
974-62-643786,신한투자증권,IRP,137,2017-09-28,216
377-81-712364,신한투자증권,IRP,264418,2011-01-23,216
44091270-21,한국투자증권,IRP,9610,2010-12-20,218
1147-7226,키움증권,IRP,1790,2020-04-05,218
164178-606887,KB증권,IRP,5242,2016-09-13,218
29460992-82,한국투자증권,종합,162632,2011-03-02,218
546–7271–9563-4,미래에셋대우,DB,20907,2013-07-11,219
1310-7903,키움증권,종합,6546,2017-04-25,219
26638587-087,하나증권,종합,24135350,2011-12-21,219
07532321-168,하나증권,IRP,253455,2022-09-26,219
241-84-312030,신한투자증권,DC,30,2019-07-23,219
6033-1280,키움증권,IRP,787,2021-02-13,220
56842876-12,한국투자증권,DB,485,2018-01-25,220
855961-203492,KB증권,종합,427,2011-09-22,221
94788506-61,한국투자증권,종합,8720,2013-03-30,221
386160-657670,KB증권,DB,183201,2012-07-13,221
746673-394586,KB증권,종합,608683,2023-03-11,223
807–7413–4523-9,미래에셋대우,DB,891,2015-10-28,223
360–6880–0688-6,미래에셋대우,종합,9404149,2011-02-06,223
611540-208606,KB증권,종합,8853,2019-09-24,225
565–7440–0690-9,미래에셋대우,IRP,8052924,2014-05-22,225
281–0077–4181-9,미래에셋대우,IRP,896,2016-10-31,225
14599064-157,하나증권,IRP,868,2020-11-25,225
5528-8893,키움증권,종합,66837973,2016-12-13,226
145–3254–9074-4,미래에셋대우,IRP,95978,2014-03-23,227
18356749-362,하나증권,종합,36747,2014-12-23,227
23249341-35,한국투자증권,종합,707040,2019-02-03,227
323188-497035,KB증권,IRP,469922,2017-08-30,227
2314-4394,키움증권,IRP,8356134,2014-03-30,228
84014318-87,한국투자증권,종합,43604573,2017-05-25,228
82755515-689,하나증권,IRP,65039,2016-10-06,228
355–5187–7017-0,미래에셋대우,IRP,3070963,2024-02-13,228
40641290-281,하나증권,IRP,9222,2011-12-14,228
35951516-802,하나증권,DB,551,2018-05-12,229
1838-6860,키움증권,DC,6497353,2014-09-24,229
645-58-015321,신한투자증권,DB,21729237,2016-04-12,230
738–5135–2434-7,미래에셋대우,IRP,496,2017-06-24,230
732–4973–2079-3,미래에셋대우,IRP,122,2021-04-02,232
804–2598–2677-6,미래에셋대우,IRP,48509,2014-02-09,232
49457929-351,하나증권,IRP,921,2013-08-12,235
65476837-13,한국투자증권,DB,90,2021-08-11,235
069-66-726397,신한투자증권,DB,1918676,2011-05-12,235
837-19-308128,신한투자증권,DB,360,2010-09-22,235
07426759-71,한국투자증권,종합,356,2018-03-18,235
4388-6506,키움증권,종합,8460103,2019-12-14,236
29222309-57,한국투자증권,종합,3108,2013-10-03,236
439-68-064927,신한투자증권,DB,660842,2015-03-30,236
11065997-06,한국투자증권,IRP,983705,2010-01-20,236
775377-848582,KB증권,IRP,94473,2014-02-28,237
2079-8610,키움증권,IRP,90765440,2015-07-22,237
17224984-14,한국투자증권,IRP,394,2019-06-23,237
939851-951805,KB증권,DB,21867966,2020-09-17,237
05607883-867,하나증권,IRP,970,2021-10-23,237
025-70-234415,신한투자증권,IRP,67726,2024-01-06,238
0666-4982,키움증권,종합,80143475,2020-07-10,238
471–9068–4432-2,미래에셋대우,종합,3834997,2011-04-24,238
89257143-34,한국투자증권,IRP,501379,2010-01-05,238
124042-011038,KB증권,DC,3643,2018-07-07,240
476337-390580,KB증권,종합,65608,2015-05-28,241
259080-837415,KB증권,IRP,1043,2010-11-21,241
09533935-668,하나증권,IRP,55919,2011-07-06,241
401324-939797,KB증권,DC,69770670,2013-09-24,241
288-96-565351,신한투자증권,IRP,887,2015-05-31,243
478-68-954915,신한투자증권,IRP,559,2024-01-11,244
262-31-023366,신한투자증권,종합,69035147,2023-03-21,245
35269426-743,하나증권,종합,5674,2012-07-24,245
088946-441637,KB증권,종합,99184,2011-02-03,246
001-63-550645,신한투자증권,DC,21913,2010-01-24,246
8666-5524,키움증권,DB,5457184,2010-08-12,246
092-02-068244,신한투자증권,DB,45408,2016-11-21,246
951-49-138188,신한투자증권,IRP,9721,2024-06-07,247
61003609-076,하나증권,DC,91623,2019-08-13,247
749–4332–2027-8,미래에셋대우,DB,5188343,2021-08-27,247
00144528-368,하나증권,종합,3475962,2018-04-05,247
781–3221–0927-8,미래에셋대우,DC,5258,2019-10-02,247
81604242-557,하나증권,DB,11420,2016-12-25,248
046–3316–3135-9,미래에셋대우,DB,314,2022-03-31,248
368880-820189,KB증권,DC,16646,2021-06-21,248
5158-1380,키움증권,종합,933,2014-01-11,248
6960-4949,키움증권,DB,22510,2020-04-13,248
380–3880–9627-6,미래에셋대우,IRP,6219,2024-03-25,249
8055-5195,키움증권,IRP,88580,2013-08-16,249
889–9110–4068-9,미래에셋대우,IRP,400637,2011-08-11,249
786-07-903519,신한투자증권,IRP,7722383,2010-06-12,249
491–3201–3217-7,미래에셋대우,종합,983,2023-12-31,249
797117-646248,KB증권,IRP,723,2023-03-15,250
990409-324535,KB증권,종합,59120,2014-12-18,250
75524736-561,하나증권,IRP,3094,2020-09-17,250
277-26-535094,신한투자증권,IRP,6676,2023-05-01,250
467416-536245,KB증권,IRP,73922,2016-12-04,250
707–5647–4984-8,미래에셋대우,DB,1658,2022-06-16,251
691346-945441,KB증권,DC,81973,2013-12-06,251
40208998-91,한국투자증권,종합,73833438,2017-07-07,251
9118-2233,키움증권,DC,8932,2010-03-15,251
35324396-712,하나증권,DC,2779346,2018-06-20,251
095–0423–7275-8,미래에셋대우,DB,9601,2024-04-03,252
116-34-532628,신한투자증권,종합,1856220,2016-09-15,252
3359-3792,키움증권,종합,991,2013-04-06,252
017-70-578764,신한투자증권,DC,33365745,2010-03-11,252
67378090-575,하나증권,종합,7871,2018-03-08,252
3709-6175,키움증권,종합,100469,2017-02-18,253
06264867-86,한국투자증권,종합,8766772,2021-04-28,253
945365-763338,KB증권,종합,60858528,2023-04-09,253
34959038-313,하나증권,IRP,665978,2017-10-11,253
07890618-745,하나증권,DC,23980,2018-04-02,254
3373-9477,키움증권,DB,77,2024-01-05,254
961–6628–4488-3,미래에셋대우,DC,722104,2018-05-12,254
23906952-43,한국투자증권,DC,2910,2011-02-19,254
01097423-71,한국투자증권,종합,573545,2021-11-28,256
03572721-578,하나증권,DB,68401,2021-06-19,256
06495874-88,한국투자증권,DB,8974,2011-04-03,256
230302-025525,KB증권,DB,613,2011-07-18,256
898–1091–7068-2,미래에셋대우,IRP,368228,2015-12-14,257
99683170-87,한국투자증권,종합,7844014,2019-10-07,257
92437310-57,한국투자증권,IRP,430376,2017-04-02,257
4878-8684,키움증권,종합,13993,2012-11-03,257
879-08-306270,신한투자증권,종합,825426,2019-04-17,257
49695021-29,한국투자증권,DB,1658,2021-07-26,258
353322-860832,KB증권,DC,2501039,2014-04-02,259
427777-996243,KB증권,종합,864668,2011-12-19,260
060–2912–8422-8,미래에셋대우,종합,31578884,2017-07-18,260
949–4477–3165-8,미래에셋대우,IRP,476442,2016-08-14,260
27618643-069,하나증권,IRP,9462492,2020-01-02,260
2604-4821,키움증권,DC,869,2023-10-21,263
74595261-909,하나증권,DB,75085,2019-06-12,263
3225-9937,키움증권,종합,3703659,2010-04-13,263
064–3998–8126-6,미래에셋대우,종합,97208,2015-02-28,263
95786655-89,한국투자증권,DC,796182,2015-01-15,264
082601-686328,KB증권,DB,3666,2019-02-08,264
379-47-760474,신한투자증권,DB,43638832,2010-01-16,264
27895971-919,하나증권,DC,593133,2011-12-16,264
03355597-75,한국투자증권,IRP,9111,2011-02-17,265
213-03-283421,신한투자증권,IRP,58236,2019-01-01,265
2379-0090,키움증권,IRP,2493,2017-12-30,265
04084792-704,하나증권,종합,26310340,2022-05-27,265
238959-979328,KB증권,DB,2152,2016-06-27,266
250-35-088431,신한투자증권,DC,33175,2016-03-14,266
48315467-70,한국투자증권,종합,48188,2010-05-22,266
28421296-17,한국투자증권,종합,57348,2011-04-12,267
348-99-410115,신한투자증권,DB,824352,2020-11-16,267
2924-0909,키움증권,종합,238,2015-10-04,267
37336133-67,한국투자증권,IRP,6161492,2021-06-10,268
655887-584850,KB증권,종합,3873353,2015-09-26,268
42679703-53,한국투자증권,DB,6782533,2023-12-21,268
922-82-495713,신한투자증권,IRP,320,2021-11-05,269
41283479-48,한국투자증권,종합,84097843,2016-06-15,269
836655-368046,KB증권,종합,28569,2019-04-21,269
145013-092661,KB증권,IRP,420,2013-06-18,269
68455433-74,한국투자증권,IRP,6912923,2013-01-24,269
624–3845–7089-8,미래에셋대우,종합,236,2013-05-02,270
5988-3968,키움증권,종합,54215605,2014-07-02,270
53626823-930,하나증권,종합,931,2022-03-21,270
885–8277–3291-6,미래에셋대우,IRP,9648,2014-12-06,270
694-47-519343,신한투자증권,DC,74655,2013-10-10,271
471827-794898,KB증권,종합,2061496,2013-05-15,272
892–0797–0578-8,미래에셋대우,IRP,15237581,2014-09-05,272
21042763-309,하나증권,IRP,3381,2014-08-18,272
588535-764609,KB증권,종합,719,2024-04-21,272
045–4306–5399-6,미래에셋대우,DB,1870,2016-10-24,273
103–0770–3122-9,미래에셋대우,종합,2946652,2013-12-21,273
040726-552086,KB증권,IRP,9968,2019-06-27,273
425–8694–3837-3,미래에셋대우,DB,20874,2010-07-16,274
049–5923–0973-1,미래에셋대우,IRP,907155,2014-05-05,275
88110639-254,하나증권,IRP,5810,2013-10-29,275
07829656-64,한국투자증권,DC,7933,2020-06-02,277
97811986-10,한국투자증권,IRP,78984480,2011-10-17,277
69109881-69,한국투자증권,IRP,963,2014-09-24,278
325–8883–1176-8,미래에셋대우,DB,5345914,2024-05-03,278
20264304-812,하나증권,종합,87665,2019-08-21,278
19897556-06,한국투자증권,종합,983,2017-02-25,278
032-06-523913,신한투자증권,DB,365,2018-07-08,279
31496684-203,하나증권,종합,591,2016-08-19,280
930-90-661065,신한투자증권,DC,14,2022-05-14,280
080-87-212275,신한투자증권,종합,80430,2012-04-28,280
82009831-07,한국투자증권,IRP,155103,2013-10-30,280
413460-557980,KB증권,DB,4031956,2016-02-01,280
5720-1977,키움증권,IRP,2555824,2011-07-18,281
201–3630–0102-0,미래에셋대우,IRP,609130,2020-05-01,281
2731-2728,키움증권,종합,6677,2024-03-10,281
398–7275–8789-1,미래에셋대우,종합,41034,2012-03-06,282
72965249-39,한국투자증권,IRP,2,2011-03-31,282
143531-214935,KB증권,DC,254,2017-11-22,282
695-93-559116,신한투자증권,DB,54821,2021-04-21,282
89726362-05,한국투자증권,IRP,47369515,2024-05-05,283
02850175-08,한국투자증권,IRP,394096,2015-12-08,283
7222-8217,키움증권,종합,6788,2013-10-03,283
20805818-18,한국투자증권,DB,73001974,2023-07-29,285
60516966-46,한국투자증권,종합,23963,2020-04-25,285
814275-443277,KB증권,DC,658255,2013-07-23,285
9825-9471,키움증권,DC,237436,2012-06-01,286
8378-1473,키움증권,DB,74223,2019-07-03,286
137-27-322415,신한투자증권,IRP,7039,2010-07-08,287
0477-6997,키움증권,IRP,66178865,2021-04-15,287
3976-5453,키움증권,종합,764559,2016-04-11,287
5490-9188,키움증권,DC,727703,2012-07-31,287
84753446-40,한국투자증권,DB,5485,2024-04-10,287
025811-473905,KB증권,종합,60030,2013-10-25,288
079-29-925009,신한투자증권,종합,46895761,2015-01-13,288
965–6909–4676-4,미래에셋대우,DC,13503073,2020-11-04,289
21692830-23,한국투자증권,DC,90984719,2012-08-07,289
980–3119–6218-8,미래에셋대우,DB,2830,2019-08-17,289
109–3871–7361-3,미래에셋대우,종합,33001957,2011-05-06,290
14322092-49,한국투자증권,종합,5351526,2010-04-29,290
372-60-842991,신한투자증권,종합,18970240,2023-11-29,290
3540-4286,키움증권,종합,4562,2012-07-24,290
67063746-460,하나증권,DB,49112770,2013-12-13,290
978365-600759,KB증권,DC,68880741,2017-09-14,291
26562164-466,하나증권,종합,39179269,2017-02-04,291
70328436-601,하나증권,DC,9318,2012-12-27,291
724-14-585025,신한투자증권,DC,92583348,2021-08-26,292
831334-983196,KB증권,종합,8779425,2020-12-07,292
421927-510305,KB증권,종합,98934,2022-08-30,292
6065-7097,키움증권,IRP,5744,2020-03-11,292
848–3158–5548-0,미래에셋대우,종합,98407580,2010-06-02,294
960-17-231460,신한투자증권,DB,3092748,2011-02-02,294
647853-610545,KB증권,IRP,17714399,2013-05-09,294
262–0920–6342-8,미래에셋대우,IRP,99323,2013-09-13,294
107982-561868,KB증권,DB,675001,2014-09-27,294
470042-302422,KB증권,DC,1722573,2011-02-24,295
4843-8789,키움증권,종합,99220467,2018-09-21,297
915-22-424118,신한투자증권,IRP,49117,2013-10-05,297
99553245-649,하나증권,DC,1640,2011-12-16,297
86608602-410,하나증권,종합,4997,2020-04-23,297
1591-4147,키움증권,DB,884321,2023-01-26,297
464934-390256,KB증권,DB,4120,2019-09-05,298
8941-2601,키움증권,DC,92766,2010-12-28,298
1915-4293,키움증권,DC,75826,2020-06-03,298
077–9935–0175-1,미래에셋대우,종합,3482221,2015-09-10,298
616–8850–1939-9,미래에셋대우,종합,53492231,2019-09-17,299
856-47-723955,신한투자증권,종합,822036,2018-02-23,299
100–2356–8600-7,미래에셋대우,DC,4248630,2018-01-29,300
69907736-32,한국투자증권,IRP,894,2019-05-04,300
69933851-12,한국투자증권,DB,879,2014-11-15,300
