account_no,stock_code
353322-860832,272210
184-36-446637,005290
24315858-488,008930
079-29-925009,064760
669–6108–3331-5,097950
270232-578103,078600
440–2737–3732-9,000990
029-41-556747,298040
436–4521–1695-4,082740
81999842-58,298380
53626823-930,032640
310–7609–5128-8,232140
001-63-550645,138040
47646559-174,139480
9300-2542,086520
446-18-547257,051600
65647747-78,021240
695-93-559116,010140
95266979-58,026960
11929801-04,011780
0080-8432,067630
749–4332–2027-8,096770
2379-0090,326030
885–8277–3291-6,035900
592900-925553,000720
935–1451–2545-4,010620
651639-225834,051910
9750-2366,028050
91631617-44,036830
53626823-930,008770
945365-763338,180640
37563387-11,003690
930-90-661065,222080
65476837-13,222800
452–5072–0886-1,248070
190–3600–1671-0,000660
90542495-945,015760
1232-6001,008930
947-27-757179,185750
3800-5619,009830
63684092-64,036460
948880-122494,005850
630-07-547492,086520
281-96-286019,010620
624–3845–7089-8,039490
8055-5195,326030
358-46-409260,005830
40208998-91,005300
11688193-96,302440
464934-390256,004000
780-22-410359,140860
346–2511–0236-0,011790
751–0674–3749-3,020150
58770203-51,028300
110-23-630835,108320
889–7440–6259-1,047040
906-53-899499,006400
709–2015–9478-2,214450
624–3845–7089-8,002790
287–6687–6121-4,237690
10147790-77,006280
476337-390580,014820
5354-7736,248070
371–0950–3262-3,000270
46044137-197,277810
780785-935960,006400
288-96-565351,010120
525-54-367003,316140
860677-355912,009240
079-29-925009,361610
89257143-34,005385
943-44-271558,000100
87110278-040,005850
44940276-692,399720
21762818-62,006400
28421296-17,000250
27177661-14,000990
898–1091–7068-2,267260
029-41-556747,004020
758-10-961519,064350
26638587-087,259960
64729240-98,393890
982313-924393,016360
752–1267–4281-1,096770
856-47-723955,267260
24315858-488,001440
858-09-172815,009540
5528-8893,139130
032-06-523913,068270
80667969-05,068760
11158880-932,399720
078–4096–2542-7,011780
7018-6962,079550
9292-8478,207940
2650-3802,278470
23906952-43,357780
44350100-96,316140
547-96-990197,000100
6523-2431,009970
55738339-248,005290
949–4477–3165-8,375500
592900-925553,086280
1838-6860,185750
787357-133049,204320
876011-745290,298020
440–2737–3732-9,035420
35278556-416,009520
848–3158–5548-0,078600
325–8883–1176-8,001120
400806-738750,026960
503-26-176979,015760
079-29-925009,010950
0363-0435,047920
350–8719–3147-6,086280
21323484-639,008770
36030052-24,000100
416390-318912,006800
29222309-57,000150
59859971-89,323410
458-66-048596,450080
721-96-486275,352820
9226-8744,034020
69907736-32,393890
465–5873–5766-3,047050
8666-5524,009830
350–8719–3147-6,042670
2534-3021,000100
032-06-523913,000120
3434-1848,001450
902586-179071,395400
7222-8217,457190
119-35-022940,010140
110–3582–8826-2,222800
8666-5524,067310
7018-6962,036930
44447146-187,145020
542-24-809860,039200
14322092-49,196170
88020664-28,047810
790–4243–4953-2,267250
9825-9471,073240
28068905-05,120110
2924-0909,003620
27618643-069,068760
060900-438114,004000
694-37-182774,000250
22307609-44,004800
3215-6393,088980
60035526-57,003090
80596785-262,066570
471–9068–4432-2,241560
41283479-48,004020
230302-025525,035420
160–1048–1429-2,066570
72481549-32,138930
360–6880–0688-6,017670
3373-9477,145020
230302-025525,018290
86753447-06,028300
779–7836–0102-1,006360
641-26-306904,298020
5993-7091,007660
0372-8394,002790
78529483-44,028670
84014318-87,005385
5993-7091,000240
62380504-802,248070
25820658-789,005290
8941-2601,185750
3976-5453,010140
60035526-57,247540
416227-994243,096530
541–3132–0225-2,004170
323188-497035,000150
83903637-272,161890
459–9083–1949-7,008770
18356749-362,042670
833–2848–8054-7,282330
2604-4821,000120
645-58-015321,240810
252-91-175889,294870
71890585-02,010950
794-23-035836,069960
31843368-465,034220
831-73-478157,041510
969963-624062,005070
077–9419–7196-5,007070
5877-8627,192820
831-73-478157,399720
43188995-715,042700
1147-7226,259960
17224984-14,034730
389–0705–9923-8,175330
355587-824737,240810
885–8277–3291-6,280360
4293-3000,103140
92917054-10,383220
9667-9971,278470
95112494-92,034220
111-73-976946,033100
22601010-07,003410
69109881-69,024110
4293-3000,055550
201–3630–0102-0,047810
944–3598–2550-0,352820
86532979-13,035760
4895-5581,010140
647853-610545,000270
45066823-188,034020
124–0930–8448-4,002790
53645403-00,214150
87110278-040,008930
22994316-00,096530
590-33-232369,082740
21027222-335,030200
02544489-24,271560
436–4521–1695-4,035250
35951516-802,065350
14599064-157,457190
033600-280125,237690
9271-2143,000080
1232-6001,005070
277-26-535094,336370
01167029-137,000120
601807-667632,161390
9034-8909,241560
5490-9188,145720
471–9068–4432-2,086520
532-21-090762,098460
07829656-64,000990
095–0151–9208-0,399720
628-84-219333,030200
721-96-486275,068270
86608602-410,018260
285-52-339020,023530
69736784-623,033780
281–0077–4181-9,065350
62441012-95,005935
056–1027–4474-3,004170
601807-667632,069620
55176786-814,009420
3359-3792,272210
431–8114–9252-1,180640
831-73-478157,004490
205–5492–5385-3,028260
244221-631765,004020
025-70-234415,005830
05014884-62,005380
641-26-306904,000240
0343-4625,026960
66983203-516,096770
748–1450–6538-8,003090
201–3630–0102-0,005070
21972261-77,036570
080-88-861218,105560
25820658-789,357780
082601-686328,004000
2751-1171,055550
190–3600–1671-0,259960
103–0770–3122-9,248070
645-58-015321,036830
611977-053922,078930
125-20-018452,000120
287694-006381,247540
315-75-909111,078600
84014318-87,003550
056–1027–4474-3,036460
2075-4004,079550
746673-394586,067310
06275886-03,086790
841547-591835,011070
80596785-262,096530
621673-673522,002710
091516-456453,035250
81428145-58,137310
8055-5195,214150
848–3158–5548-0,009540
6960-4949,383220
9652-7015,042700
5490-9188,036930
71890585-02,012750
632375-428679,373220
89257143-34,121600
29222309-57,267270
37875371-207,009970
55176786-814,030200
9195-4191,079550
9271-2143,042700
936939-993002,008770
73343563-058,204270
037–4299–3003-8,004490
5086-8132,000120
36779182-139,009150
156–9677–3386-0,329180
377-81-712364,004800
092–1787–1106-3,009540
077–9419–7196-5,098460
9652-7015,064760
90542495-945,010620
100–2356–8600-7,010620
17224984-14,302440
0654-8904,039130
32959455-992,399720
248–8062–6494-2,241560
4833-0055,282330
57703722-844,004170
1591-4147,121600
88964146-502,089030
86392216-60,138930
080-87-212275,096770
691346-945441,069620
608005-007793,222800
92518861-536,247540
889–9110–4068-9,058470
807–7413–4523-9,004020
341–7669–0156-0,139480
03572721-578,328130
639-88-974791,000240
37875371-207,095340
98806970-48,010130
241-84-312030,015760
470042-302422,036570
241-28-213672,140410
906840-364420,000150
352-63-044077,207940
163990-515643,084370
61003609-076,086520
465–5873–5766-3,051910
5086-8132,140860
05014884-62,047050
2534-3021,005420
3595-1573,328130
608005-007793,298050
29460992-82,056190
22994316-00,328130
748–1450–6538-8,002380
965–6909–4676-4,328130
42393350-99,034230
892–0797–0578-8,035900
31224040-11,336370
780-22-410359,323410
4293-3000,082740
252-91-175889,121600
546539-300908,282330
315-75-909111,336570
624–3845–7089-8,298040
029-41-556747,120110
9226-8744,090430
256835-098321,293490
64729240-98,036930
02850175-08,161890
194–0738–4208-9,067310
74595261-909,002380
2379-0090,007310
04084792-704,005830
03733449-05,214450
3540-4286,009970
988718-074278,120110
46044137-197,042660
21692830-23,010130
452–5072–0886-1,139480
901–1073–0397-9,034230
939851-951805,006280
2731-2728,086280
323188-497035,005850
20520613-673,298040
738–5135–2434-7,030200
647-97-272197,267250
380–6921–3279-7,067160
36030052-24,095340
50901884-154,009240
532-21-090762,005385
107982-561868,402340
86608602-410,001440
9750-2366,001450
353322-860832,298020
9034-8909,196170
6907-2128,139130
608005-007793,005420
603–1960–7103-1,121600
5877-8627,138040
21692830-23,096530
694-47-519343,002380
56842876-12,017670
81428145-58,000880
32939048-531,137400
611977-053922,014820
797–8832–6230-1,086520
8941-2601,006400
20805818-18,222800
649456-581888,140410
470042-302422,140860
38673885-38,281740
47646559-174,002380
06143721-099,001570
4833-0055,000100
930-90-661065,282330
841547-591835,373220
592900-925553,005830
5988-3968,213420
5086-8132,004170
88110639-254,357780
707–5647–4984-8,336370
2731-2728,281740
057177-785186,012330
58770203-51,034220
3434-1848,302440
78445365-349,282330
53645403-00,017860
080-87-212275,003230
906840-364420,000240
400806-738750,090430
5877-8627,166090
04225914-63,006800
544–1128–6222-4,161890
412-75-037169,307950
620-69-196475,007660
3215-6393,078930
110-23-630835,103590
383524-881209,006400
09533935-668,101490
549791-477974,090430
865–2221–8948-1,298050
841547-591835,002790
740–1165–2435-4,009830
13772543-60,024110
906-53-899499,028670
663-99-640333,000810
77104574-44,014680
270232-578103,000250
31224040-11,030000
3976-5453,028260
2075-4004,307950
69736784-623,071050
416227-994243,034730
833–2848–8054-7,090430
37563387-11,280360
82009831-07,032830
830646-493086,285130
724977-270793,000990
33218844-38,078930
001-63-550645,005850
60516966-46,068760
986-27-660389,006800
947-27-757179,454910
4997-7015,298020
116-34-532628,025900
64729240-98,078930
6960-4949,014680
838314-692137,298050
75524736-561,001720
35967223-626,032640
281–0077–4181-9,068760
122-20-939201,006400
405-79-113430,298380
2079-8610,139480
8941-2601,000810
230-71-279292,307950
2534-3021,185750
532-21-090762,161390
93672354-228,068760
400806-738750,005420
315752-290695,002380
110–3582–8826-2,039130
05607883-867,120110
122-20-939201,004490
31843368-465,003670
168–6643–1594-3,086520
763691-126050,028670
230302-025525,006280
55936753-07,008770
719385-894569,066570
53645403-00,001120
70325339-638,141080
906-53-899499,004800
77928677-030,298040
2751-1171,034730
09656286-41,024110
669–6108–3331-5,353200
6960-4949,329180
100–2356–8600-7,185750
939851-951805,316140
941348-199285,005387
602093-294947,086520
37259327-018,015760
9226-8744,137310
73343563-058,042700
700–7083–6061-5,047040
201–3630–0102-0,454910
602093-294947,141080
724-14-585025,000400
07829656-64,042670
30265088-30,036460
2751-1171,006800
758-10-961519,005490
700–4796–6416-1,137310
707–5647–4984-8,267250
080-87-212275,285130
602–3194–4722-4,004000
62153886-738,005930
939851-951805,141080
7018-6962,011210
07426759-71,000810
624-14-061950,352820
73122705-411,034230
231993-867199,237690
4756-7903,004020
8128-1453,006110
86392216-60,247540
758-10-961519,004000
044961-978299,001570
124042-011038,140860
42393350-99,417200
9750-2366,010950
73122705-411,005070
807–7413–4523-9,440110
4546-5316,090430
29739358-897,068270
26638587-087,035250
588535-764609,073240
1400-3329,259960
6934-1139,005070
307782-878880,010060
956-65-465028,005387
841547-591835,004170
80667969-05,450080
37616231-79,140410
471827-794898,020150
88020664-28,141080
7294-7868,069620
125-20-018452,298380
015-37-868273,293490
3592-5373,001570
21982667-352,024110
8206-0953,028670
6545-3013,285130
7328-8383,047050
27260469-950,009420
706-80-042454,069620
45066823-188,028670
077–9935–0175-1,278280
8378-1473,298020
35278556-416,000150
103–0770–3122-9,090430
270232-578103,285130
706-80-042454,005940
029-41-556747,009830
505–9870–6272-5,002790
749–4332–2027-8,006360
400806-738750,137310
80667969-05,017800
903827-599704,214370
095–0151–9208-0,005850
841547-591835,036460
927-04-287479,001570
5575-7467,051600
944–3598–2550-0,005300
647853-610545,009420
804–2598–2677-6,298050
145979-931421,051910
54512425-09,007660
446-18-547257,047050
461–1760–0555-9,066570
244–3731–9546-1,267270
77104574-44,357780
840793-927913,237690
478-68-954915,012510
098176-925887,051915
69109881-69,009970
9310-2574,145720
797–8832–6230-1,271560
235720-830758,005385
541–3132–0225-2,086900
045–4306–5399-6,022100
92917054-10,011780
582-07-993607,011780
8376-2813,055550
83008780-767,010130
72481549-32,036830
5720-1977,000880
6033-1280,008770
61550345-21,017860
35269426-743,348370
8150-7704,007310
98806970-48,105560
60909497-805,047050
4833-0055,251270
69907736-32,009150
374–9320–7439-8,032830
62380504-802,042660
287694-006381,139130
7057-9657,030200
76690231-791,035720
47646559-174,267260
3976-5453,033780
3359-3792,207940
5490-9188,039130
423-57-633886,140860
306-44-788899,067630
71890585-02,096530
040726-552086,028260
752–1267–4281-1,031980
691346-945441,051915
386160-657670,263750
107982-561868,005380
163990-515643,271560
740–1165–2435-4,009420
42393350-99,005940
389–0705–9923-8,058470
168–6643–1594-3,068270
92437310-57,005930
489-72-229610,001450
588535-764609,003550
1680-1632,011170
95112494-92,032830
401324-939797,005380
5086-8132,253450
471827-794898,000990
310–7609–5128-8,034230
1372-3925,003620
068554-764931,000660
55176786-814,085660
077–9935–0175-1,298040
250–3976–7745-2,003690
137-27-322415,086900
602093-294947,097950
544–1128–6222-4,003620
359-86-019653,042700
8128-1453,361610
21692830-23,034730
500997-002208,009240
457–1494–0267-6,051900
77928677-030,139130
285-52-339020,042700
5283-5937,161390
5866-7914,035250
797117-646248,108320
3976-5453,166090
37616231-79,128940
37336133-67,003230
095–0423–7275-8,105560
5988-3968,454910
21042763-309,096530
164178-606887,348370
2075-4004,098460
057177-785186,067630
092–1787–1106-3,336370
73122705-411,240810
2731-2728,140410
230-71-279292,003090
974-62-643786,067160
360–6880–0688-6,055550
4008-2360,095340
57453691-384,028260
27177661-14,095340
083492-288398,034230
960-17-231460,166090
353322-860832,112040
37563387-11,066970
098176-925887,098460
620-69-196475,000660
86753447-06,000990
7328-8383,005420
20520613-673,326030
02850175-08,002710
90300518-16,096530
948880-122494,353200
724977-270793,086280
145979-931421,000880
621673-673522,051915
69736784-623,353200
08376139-511,004020
887-57-043405,005070
724977-270793,051900
256835-098321,035760
467416-536245,031980
00594065-78,166090
09533935-668,277810
427777-996243,259960
005-14-498113,028670
62380504-802,001440
92437310-57,009520
196–3126–6137-6,039490
1061-1433,055550
287–6687–6121-4,032640
02544489-24,030000
00144528-368,010620
9807-8795,052690
6907-2128,035720
669–6108–3331-5,009540
079-29-925009,357780
14685876-823,020150
853–6154–3898-5,097950
26118039-624,323410
901–1073–0397-9,052690
2534-3021,021240
22307609-44,280360
91182812-209,036460
277–9206–3753-1,298050
14322092-49,065350
9931-8374,001450
08376139-511,009420
6065-7097,000990
740–1165–2435-4,051600
59859971-89,007310
7222-8217,001740
037–4299–3003-8,000660
07890618-745,067630
814275-443277,377300
400806-738750,214450
27177661-14,042660
863-96-651283,036540
6960-4949,012750
27260469-950,023530
24315858-488,009540
961–6628–4488-3,012750
04225914-63,010120
02373826-37,069960
3540-4286,010140
281–0077–4181-9,294870
49457929-351,023530
734–4005–2292-1,383220
3595-1573,066570
287694-006381,009240
7101-6501,377300
281-96-286019,141080
110–3582–8826-2,069620
406–0108–6271-3,047050
60693865-09,030200
721-96-486275,030000
1061-1433,323410
887-57-043405,006400
789-60-751229,229640
07532321-168,089030
457–1494–0267-6,240810
00144528-368,003490
7223-8822,240810
57703722-844,111770
13772543-60,298050
49316297-836,010950
015-37-868273,005850
0654-8904,196170
5601-4717,417200
287–6687–6121-4,003410
259517-428809,336260
26562164-466,028670
9216-9188,000100
13772543-60,316140
78445365-349,095340
611977-053922,145720
421927-510305,001570
05607883-867,055550
145–3254–9074-4,138930
04084792-704,293490
45732095-476,089860
544–1128–6222-4,240810
250–3976–7745-2,000810
9226-8744,010140
325–8883–1176-8,006260
836332-038054,028670
091516-456453,051600
6033-1280,047040
4756-7624,039490
899–4193–3690-5,145020
8480-7459,021240
879–6537–3395-9,393890
231993-867199,006800
348-99-410115,012510
478-68-954915,005385
015-37-868273,009970
647853-610545,302440
500931-051536,079550
4378-2795,395400
741–8841–6669-5,012750
787357-133049,263750
449-36-583547,329180
18356749-362,248070
0363-0435,010130
090560-973563,005935
5988-3968,004990
830646-493086,006360
412-75-037169,073240
35951516-802,017670
17224984-14,047040
29460992-82,001450
163990-515643,259960
41171877-80,373220
6065-7097,001740
6484-2736,064760
503-26-176979,010140
3709-6175,006040
630-07-547492,029780
0372-8394,035250
37336133-67,047040
8022-8467,253450
406–0108–6271-3,034220
8116-5787,316140
89726362-05,009830
699–4097–2968-5,348370
941348-199285,003090
91631617-44,267250
647853-610545,035250
379838-972893,039030
145979-931421,015760
11065997-06,145020
107982-561868,086900
81999842-58,005930
120-01-677685,009970
76573514-730,112040
056–1027–4474-3,000270
2314-4394,015760
856-47-723955,011780
588535-764609,029780
02544489-24,009240
59859971-89,017860
281-96-286019,307950
374–9320–7439-8,105560
9931-8374,030200
4997-7015,033780
375–0690–9868-9,005850
84014318-87,298040
31224040-11,096530
32527268-129,178320
6145-7411,267260
694-37-182774,000150
345826-708036,000270
156–9677–3386-0,086790
09157354-29,085660
542-24-809860,417200
373282-117191,010130
734–4005–2292-1,096770
001-63-550645,002380
79825161-85,009830
06141965-589,042660
707-06-670577,005850
826-09-513084,281740
2650-3802,031980
797117-646248,214450
05607883-867,328130
145013-092661,192820
36779182-139,078930
915-22-424118,036570
427777-996243,294870
858-09-172815,089030
339494-950350,000080
61377941-723,395400
4008-2360,166090
416390-318912,000990
546539-300908,000880
75524736-561,007310
077–9419–7196-5,140860
288-96-565351,229640
351487-717069,298020
9825-9471,064760
20520613-673,000720
6907-2128,003410
852-18-831177,145020
2559-3347,023590
68747522-196,006280
7101-6501,277810
666–9916–0037-7,196170
315752-290695,018880
95112494-92,090430
781–3221–0927-8,002380
556290-782177,096770
277–9206–3753-1,004800
6934-1139,139480
060–2912–8422-8,024110
271-21-238996,004020
6784-3729,271560
259080-837415,021240
3540-4286,161390
21762818-62,253450
6523-2431,373220
4388-6506,005380
87110278-040,028050
26562164-466,051915
8666-5524,000150
250–3976–7745-2,454910
31843368-465,003490
3536-3120,443060
628-84-219333,012330
941348-199285,002380
2314-4394,293490
831334-983196,067160
156–9677–3386-0,281740
253–0438–5223-1,003690
431–8114–9252-1,004170
869-08-936273,112610
1153-4298,096530
836655-368046,278470
2314-4394,058470
11929801-04,003670
471–9068–4432-2,121600
879-08-306270,068270
58770203-51,000100
526–4982–0130-1,001570
87110278-040,002790
3976-5453,064350
43188995-715,039030
5283-5937,373220
869-08-936273,034020
476337-390580,010140
471–9068–4432-2,352820
22601010-07,006280
58000010-73,253450
69109881-69,004490
814275-443277,047050
74672915-317,140860
405-79-113430,031980
2604-4821,004000
541-19-468083,282330
0626-2624,139480
11929801-04,047810
4008-2360,098460
840793-927913,420770
27177661-14,001040
015-87-741911,357780
547-96-990197,005850
36030052-24,005387
080-88-861218,251270
556290-782177,014680
235720-830758,145020
23249341-35,000400
797–8832–6230-1,004370
231993-867199,009150
32527268-129,012450
92917054-10,086280
40641290-281,018670
015-37-868273,033780
23906952-43,042660
03355597-75,039200
425–8694–3837-3,089590
069-66-726397,088980
60516966-46,012750
986-27-660389,009420
758-10-961519,111770
860677-355912,010130
876011-745290,088350
11158880-932,011200
69940390-265,112040
8022-8467,121600
3225-9937,004170
9216-9188,003490
32959455-992,036460
3434-1848,020150
7328-8383,041510
277-26-535094,450080
55176786-814,263750
271-21-238996,001120
357–9954–1972-4,008770
837-19-308128,399720
836655-368046,402340
114-54-676040,240810
336-39-353073,237690
379-47-760474,086900
21312073-427,009150
49801424-34,036930
740–1165–2435-4,006360
814275-443277,263750
06275886-03,207940
459–9083–1949-7,079550
69907736-32,005930
74672915-317,004170
96447423-08,316140
860677-355912,032640
839-23-828521,248070
791-37-394070,307950
164178-606887,950160
480-30-333809,000080
75524736-561,005930
0069-0207,139480
44887696-82,005935
0363-0435,357780
88020664-28,417200
464934-390256,025900
791-37-394070,112040
582-07-993607,000250
81999842-58,035250
505–9870–6272-5,001120
234383-793053,034020
190–3600–1671-0,298040
6934-1139,000660
3215-6393,140410
694-47-519343,214150
794-23-035836,000720
758-10-961519,302440
4546-5316,417200
28320714-517,051915
2604-4821,393890
9696-1417,011790
256835-098321,005385
405-79-113430,393890
345221-335934,009830
380–3880–9627-6,081660
5868-3191,005850
590-33-232369,196170
470042-302422,009540
869-08-936273,006280
095–0423–7275-8,248070
249-46-117445,383310
4293-3000,010620
794463-544498,006800
069-66-726397,285130
91182812-209,010950
032-06-523913,055550
838314-692137,069620
544-39-489513,066970
874–2803–6164-0,007070
645-58-015321,121600
350–8719–3147-6,003490
423-57-633886,065350
3709-6175,028670
11688193-96,103590
9667-9971,067310
26638587-087,175330
80596785-262,006280
32939048-531,008770
2353-2411,030000
989–2611–3525-1,005387
420085-661975,011790
7223-8822,035760
4843-8789,079550
07890618-745,007660
114-54-676040,454910
94912359-080,140860
374–9320–7439-8,011170
2314-4394,222800
237439-130647,079550
14599064-157,003230
163990-515643,010950
67063746-460,195940
549791-477974,316140
978365-600759,145720
503-26-176979,011070
2314-4394,090430
124281-326338,041510
420085-661975,069960
978365-600759,005940
807–7413–4523-9,022100
91763491-88,214150
630-07-547492,005300
056–1027–4474-3,088980
103–0770–3122-9,035900
026-01-021802,001120
982313-924393,140410
040726-552086,323410
0080-8432,267270
647853-610545,000250
2604-4821,055550
467416-536245,222080
4714-8806,011170
76573514-730,021240
80596785-262,145720
621673-673522,005387
930-90-661065,000810
7057-9657,375500
252-91-175889,000990
56842876-12,011780
775377-848582,024110
541–3132–0225-2,285130
06495874-88,247540
5490-9188,068270
11158880-932,056190
345826-708036,001450
943-44-271558,051915
306-44-788899,272210
880-75-105745,175330
412-75-037169,000660
1147-7226,105560
9750-2366,357780
497-79-481818,071050
2079-8610,004990
252-91-175889,035250
6907-2128,012750
68747522-196,138930
3800-5619,138930
09656286-41,005070
22307609-44,005385
147-46-926332,329180
159007-322083,005930
325–8883–1176-8,248070
06141965-589,207940
61003609-076,373220
18242596-303,383310
1147-7226,051600
353322-860832,003550
8206-0953,011070
02544489-24,014680
91631617-44,214370
235720-830758,002380
544-39-489513,002380
1132-9572,017670
44091270-21,004990
73122705-411,180640
621673-673522,065350
922-82-495713,015760
379-47-760474,009150
379-47-760474,000270
14322092-49,298380
116-34-532628,036930
700–7083–6061-5,036930
005-14-498113,161390
565010-766640,259960
341–7669–0156-0,000120
641-26-306904,348370
5354-7736,348370
25516338-81,079550
098176-925887,097950
25129677-595,001040
82755515-689,047810
09157354-29,001120
401324-939797,086790
374–9320–7439-8,005070
787–2064–1450-1,145720
47646559-174,294870
01097423-71,047040
252-91-175889,009150
110-23-630835,069620
04225914-63,120110
48315467-70,004000
83008780-767,024110
159007-322083,036930
03355597-75,086520
797–8832–6230-1,009240
27618643-069,079550
924425-126548,009830
35324396-712,105560
262–0920–6342-8,069960
03355597-75,192820
889–7440–6259-1,058470
244221-631765,128940
98806970-48,145720
201–3630–0102-0,267260
639-88-974791,011790
655887-584850,010130
80211459-64,095340
082601-686328,047050
098176-925887,000120
380–6921–3279-7,003550
49348855-95,051900
2751-1171,078930
930-90-661065,035900
33160982-830,010620
71890585-02,003620
5354-7736,000120
33218844-38,014820
860677-355912,047040
787357-133049,112610
616–8850–1939-9,047050
346–2511–0236-0,079550
779–7836–0102-1,052690
147-46-926332,017860
0654-8904,004370
35951516-802,214150
20805818-18,336260
1132-9572,267250
700–4796–6416-1,000120
21027222-335,214450
791-37-394070,098460
017-70-578764,185750
5993-7091,383220
827227-745190,329180
532-21-090762,030000
624–3845–7089-8,140410
1147-7226,078930
355–5187–7017-0,298020
19897556-06,047810
889–7440–6259-1,006040
145979-931421,035760
694-37-182774,011170
20805818-18,028050
037–4299–3003-8,088350
902586-179071,000720
35324396-712,020150
1132-9572,086900
836332-038054,084370
353322-860832,088350
8150-7704,058470
960-17-231460,036570
307782-878880,006110
377-81-712364,237690
09656286-41,000810
1591-4147,000720
615–6024–9493-4,036930
922-83-065312,204320
694-47-519343,030200
360–6880–0688-6,096770
48315467-70,214370
33160982-830,140410
47646559-174,361610
20805818-18,033780
855961-203492,161890
830646-493086,018260
961–6628–4488-3,034220
794463-544498,004000
48315467-70,377300
69907736-32,035420
262-31-023366,298050
06275886-03,280360
8941-2601,005935
732–4973–2079-3,195940
9807-8795,005940
100–2356–8600-7,066970
2079-8610,145020
74503954-279,047040
214154-622370,002790
55738339-248,051900
49695021-29,352820
21323484-639,003690
2731-2728,316140
927-04-287479,073240
42679703-53,237690
961–6628–4488-3,006260
628-84-219333,248070
246996-432360,121600
11065997-06,088350
706-80-042454,065350
869-08-936273,035760
025811-473905,073240
253–0438–5223-1,352820
244-35-325816,042670
616–8850–1939-9,006260
336-39-353073,011790
02373826-37,017800
10147790-77,298380
9750-2366,108320
092-02-068244,064760
00594065-78,012450
974-62-643786,259960
5528-8893,047050
147-46-926332,267250
59859971-89,112610
695–8007–2025-2,004990
8206-0953,012450
457–1494–0267-6,071050
44887696-82,402340
880-75-105745,195940
213-03-283421,248070
751–0674–3749-3,316140
1591-4147,067310
94912359-080,298040
56350641-15,003550
345221-335934,006260
095–0423–7275-8,298050
92518861-536,051600
420085-661975,214370
379838-972893,000250
120-01-677685,011200
161-57-895975,000250
974-62-643786,002380
05014884-62,003670
21027222-335,034020
8666-5524,047810
350–8719–3147-6,003690
53626823-930,207940
143531-214935,161390
88020664-28,028050
951-49-138188,302440
241-84-312030,257720
695-93-559116,032640
88964146-502,140410
32959455-992,056190
0303-9109,030000
358-46-409260,028260
14685876-823,052690
76573514-730,353200
253–0438–5223-1,307950
491–3201–3217-7,004020
139-64-075145,302440
89257143-34,008770
794-23-035836,105560
252-91-175889,010130
259080-837415,140860
81604242-557,120110
237439-130647,035420
60693865-09,047050
848–3158–5548-0,034220
8055-5195,137310
89257143-34,103140
898–1091–7068-2,285130
457–1494–0267-6,000810
350–8719–3147-6,001040
565–7440–0690-9,009830
630-07-547492,030000
787357-133049,047050
72481549-32,121600
86392216-60,365340
17791390-285,095340
5575-7467,128940
74672915-317,030000
256835-098321,028050
858328-177307,263750
400806-738750,066970
21027222-335,058470
092–1787–1106-3,034220
592900-925553,011210
194358-544073,121600
848–3158–5548-0,006260
18296934-099,214370
17791390-285,018260
21042763-309,005380
21027222-335,002710
59136542-261,140410
997–7686–9929-8,001040
65647747-78,055550
9682-5743,025900
08376139-511,039030
25129677-595,454910
026-01-021802,031980
3976-5453,035720
27618643-069,185750
124042-011038,008770
787–2064–1450-1,185750
359-86-019653,079550
440–2737–3732-9,138040
83903637-272,011070
336-39-353073,403870
244–3731–9546-1,068270
658–1202–9184-8,140860
81604242-557,000270
830646-493086,011170
9750-2366,014820
25633982-468,035900
6523-2431,078600
8022-8467,006110
3215-6393,010060
125-20-018452,034730
4387-5235,009970
1372-3925,005385
562–8321–0989-3,108320
07532321-168,026960
69736784-623,017800
270232-578103,161890
98806970-48,185750
40405218-76,021240
98225420-75,034230
624–3845–7089-8,035420
91182812-209,214150
423-57-633886,393890
848–3158–5548-0,020150
90300518-16,277810
830646-493086,003670
380–3880–9627-6,036460
98225420-75,005070
35967223-626,095340
060–2912–8422-8,138040
257–6075–8438-5,000880
288-96-565351,021240
695–8007–2025-2,000660
8378-1473,011070
88316447-41,003670
1400-3329,005930
262–0920–6342-8,377300
111-73-976946,011790
4714-8806,000240
8941-2601,029780
250-35-088431,248070
103–0770–3122-9,009540
285-52-339020,018670
986-27-660389,051900
21312073-427,051600
92518861-536,326030
61003609-076,298380
5528-8893,005420
99686668-30,000660
111-73-976946,000210
310–7609–5128-8,005385
900–4924–0452-8,348370
856-47-723955,006260
360–6880–0688-6,039030
423-57-633886,096530
669–6108–3331-5,085660
241-84-312030,039490
6907-2128,112610
077–9935–0175-1,034220
927-04-287479,353200
40208998-91,277810
869-08-936273,214450
92917054-10,001440
205–5492–5385-3,009420
48323716-20,161890
0654-8904,018880
2650-3802,011170
588535-764609,011790
751–0674–3749-3,008930
095–0423–7275-8,137310
345221-335934,137310
3595-1573,248070
2079-8610,259960
601807-667632,005380
7101-6501,039200
1147-7226,026960
439-68-064927,214150
190–2633–6205-0,011200
997317-011669,010130
364223-020823,282330
464934-390256,032830
719385-894569,090430
246996-432360,000270
23906952-43,139480
5158-1380,383310
8941-2601,036570
44940276-692,032640
3976-5453,096530
466-19-144958,316140
137-27-322415,035420
98806970-48,001440
808–8199–9176-0,018880
184-36-446637,004990
5744-0125,137310
26638587-087,000100
0080-8432,071050
250-35-088431,281740
906-53-899499,323410
79825161-85,015760
2075-4004,323410
76690231-791,285130
345826-708036,195940
780-22-410359,086790
